anime_id,title,episodes,score,popularity,rank,studio_toei_animation,studio_sunrise,studio_j.c.staff,studio_madhouse,studio_tms_entertainment,studio_production_i.g,studio_studio_deen,studio_pierrot,studio_olm,studio_shin-ei_animation,studio_a-1_pictures,studio_nippon_animation,studio_aic,studio_dle,studio_tatsunoko_production
1,Cowboy Bebop,26.0,9.0,Top 100,Top 100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Cowboy Bebop: Tengoku no Tobira,1.0,8.0,"Top 1,000",Top 500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Trigun,26.0,8.0,Top 500,Top 500,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7,Witch Hunter Robin,26.0,7.0,"Top 5,000","Top 5,000",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,Bouken Ou Beet,52.0,7.0,"Top 7,500","Top 5,000",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Eyeshield 21,145.0,8.0,"Top 5,000","Top 1,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Hachimitsu to Clover,24.0,8.0,"Top 1,000","Top 1,000",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
17,Hungry Heart: Wild Striker,52.0,8.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,Initial D Fourth Stage,24.0,8.0,"Top 5,000",Top 500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Monster,74.0,9.0,Top 500,Top 100,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
20,Naruto,220.0,8.0,Top 10,"Top 1,000",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
22,Tennis no Oujisama,178.0,8.0,"Top 5,000","Top 1,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Ring ni Kakero 1,12.0,7.0,"Top 10,000","Top 7,500",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,School Rumble,26.0,8.0,"Top 1,000","Top 1,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Sunabouzu,24.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Texhnolyze,22.0,8.0,"Top 1,000","Top 5,000",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,Trinity Blood,24.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Yakitate!! Japan,69.0,8.0,"Top 5,000","Top 1,000",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Zipang,26.0,8.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,Shinseiki Evangelion,26.0,8.0,Top 100,Top 500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
31,Shinseiki Evangelion Movie: Shi to Shinsei,1.0,7.0,"Top 1,000","Top 5,000",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",1.0,9.0,Top 500,Top 500,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
33,Kenpuu Denki Berserk,25.0,9.0,Top 500,Top 100,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
43,Koukaku Kidoutai,1.0,8.0,Top 500,Top 500,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4.0,9.0,"Top 1,000",Top 100,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
45,Rurouni Kenshin: Meiji Kenkaku Romantan,94.0,8.0,Top 500,Top 500,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1.0,8.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,Akira,1.0,8.0,Top 500,Top 500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,.hack//Sign,26.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,Aa! Megami-sama!,5.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50,Aa! Megami-sama! (TV),24.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
51,Tenshi Kinryouku,3.0,6.0,"Top 5,000","Top 10,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,Kidou Tenshi Angelic Layer,26.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,Ai Yori Aoshi,24.0,7.0,"Top 5,000","Top 5,000",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
54,Appleseed (Movie),1.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,Arc the Lad,26.0,7.0,"Top 7,500","Top 7,500",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,Avenger,13.0,6.0,"Top 7,500","Top 25,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,Beck,26.0,8.0,"Top 1,000",Top 500,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
58,Blue Gender,26.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
59,Chobits,26.0,7.0,Top 500,"Top 5,000",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
60,Chrno Crusade,24.0,8.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,D.N.Angel,26.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,D.C.: Da Capo,26.0,7.0,"Top 5,000","Top 7,500",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,DearS,12.0,7.0,"Top 5,000","Top 7,500",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,Rozen Maiden,12.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,Rozen Maiden: Träumend,12.0,8.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,Azumanga Daiou The Animation,26.0,8.0,"Top 1,000","Top 1,000",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
67,Basilisk: Kouga Ninpou Chou,24.0,8.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,Black Cat (TV),23.0,7.0,"Top 1,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,Cluster Edge,25.0,6.0,"Top 7,500","Top 10,000",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
71,Full Metal Panic!,24.0,8.0,Top 500,"Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,Full Metal Panic? Fumoffu,12.0,8.0,"Top 1,000","Top 1,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,Full Metal Panic! The Second Raid,13.0,8.0,"Top 1,000","Top 1,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,Gakuen Alice,26.0,8.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,Soukyuu no Fafner: Dead Aggressor,25.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,Mahou Shoujo Lyrical Nanoha,13.0,7.0,"Top 5,000","Top 5,000",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
